input,risposta
ma come,Quindi andrò a letto all'una e sono sveglio dalle 4
dio fra mi dispiace,"Another 24hours straight, nice. Sono i soliti francesi dimmerda che mi hanno perso la valigia, non incolpare i poveri canadesi, loro piuttosto stanno facendo la consegna all'una di notte, cosa che in Italia manco ti arriva di giorno, figuriamoci di notte"
tutti contro i francesi baguettari,Esattamente
vabbè poi però dormi fino a mezzogiorno minimo,Hahahaha I hope so
dai dai,Comunque ho detto alla mia hmom che non ho mai visto una cascata e si è tipo scandalizzata quindi domani andiamo a vederne una hahaha
eh beh scusa sei nello stato giusto,Yeah I think so
ho appena scoperto che le cascate del Niagara segnano il confine tra usa e canada,"Io non so neanche dove siano 😐. Ok dall'altra parte del Canada hahaha. È super interessante anche la Eternal flame waterfall, valla a cercare"
è super particolare,...... La valigia è arrivata salva ma non sana.....
comunque credo tu possa fare la denuncia se hai voglia,Si dovrebbero tipo rimborsarmi
spero per te di no ma fallo vedere,Sembra essere un semplice orzaiolo
poco piacevole,"Neanche un grande problema. Btw, buona notte :)"
sogni d'oro cicciolo,No è un libro hahaha
ma come,Però sempre di poesie
aaaah,Il taccuino è sulla scrivania.. 👉👈
lo sapevoo,Sono così prevedibile?. Comunque gooodnight for me and have a nice day for you <3
a dopoo,GOODMORNING
hi,"Ok no, I'll fall asleep again, bye."
"hahahahaha fai bene, dormii",Ho appena incontrato la mamma di Lana. È passata a salutare prima di partire per un viaggetto in Ontario. Giusto 50 ore di macchina 🫠. You deleted this message
AI LAIK IT,"La mia host mom. Comunque sono appena tornato da una gita.. stupendo è dire poco, adesso ti mando le foto perché devi assolutamente vederlo. Voglio le coccole.."
era fredda?,"Era fottutamente *gelida*, era più melted ice then water. Pls non mi insultare se parlo mezzo inglese mi viene già naturale anche dopo solo due giorni hahaha non lo faccio apposta"
<Media omitted>,Ho fatto tipo la mia prima battuta in inglese veramente divertente
<Media omitted>,"Trystan(brother): ""come on Francesco, the water it's nice"" Me: ""fuck you, it's nice yeah but with out an _n_"". Ha riso. E ne vado molto fiero. Lo sooo volevo solo aggiungere questa cosa uffa ☹️. Comunque strano, non mi hai chiesto perché sono sveglio alle 2 e mezza di notte😃"
perché sei sveglio?,"Bo non so, ho fatto una pausa, mi sono svegliato ora, mi sto normalizzandoo"
ok ora è l'una?,"Hahaha si. Sono appena rientrato a casa, fuori non ho wifi"
sono contenta che tu abbia trovato una bella famiglia,"Ho una discussione filosofica bella profonda e pesante da fare, e dal momento che non posso averla con la gentile Barbara né con nessun altro qui poiché nessuno parla la mia lingua.. sentiti libera di farmi sapere se fossi disponibile o meno ☺️. *Se tu fossi/se sei  Sono parecchio indeciso su quale sia l'opzione più giusta. Certo che svegliarsi e leggere un messaggio del genere forse potrebbe essere al quanto traumatico hahahaha Rispondi pure quando sarai più sveglia ❤️  P.s.: e comunque buongiorno stellina ✨"
hai cambiato numeroo,Siiii. Non molto diverso dal solito
scusa se non ti ho risposto ma ieri è stata una giornata un po'frenetica,"Whyy. Bene bene, ho conosciuto un sacco di persone da tutto il mondo haha era il giorno di orientamento con tutti gli studenti internazionali e quest'anno siamo in 150 🫠. Poi la scuola vera inizierà dal 7. Ah e comunque buongiorno✨"
che bello,"Sisi, qui dormo un sacco, basta essere tranquilli e poi nella vita va tutto automaticamente meglio :)"
come procede?,"Bienn. Ho programmato le mie giornate per quando comincerà la scuola, tipo quando vado a correre, quando in palestra, quando dormo ecc"
perfezionista,Poi adesso ho finito di fare la denuncia per il rimborso per la valigia e più tardi credo andrò a comprare delle scarpe per correre. Per una volta in vita mia permettimi di avere una routineee
poi forse hai più tempo rispetto a qui per farle,"Sni. Nel senso che qui la scuola dura veramente molto e il sole tramonta molto presto (a dicembre dovrebbe tramontare alle 4/5 pm🫠). Però diciamo che non si esce troppo con gli amici ecc di settimana, quindi in quel senso dovrei avere più tempo"
anche da noi tramonta a quell'ora,Alle 16?
essi,Ti sembra ancora normale?
oddio potrei morire,Ecco. Appunto. Sto andando a dormire alle 20 e 30.. chi avrebbe mai detto che sarebbe successo
com'è andata,"Molto meglio di quanto credessi. Ho ricominciato da capo con un programma di corsa per chi parte da 0 come avevo fatto qualche mese fa, e l'altra volta la prima corsa mi aveva stancato un sacco, invece adesso l'ho fatta senza alcun problema quindi ottimo, la prossima posso già aumentare"
correre dev'essere liberatorio,"Abbastanza, si. La cosa bella è che qui *chiunque* incontri ti sorride e dice buongiorno, e io adoro questa cosa (anche se qualcuno che conosco risponderebbe ""ti sfonno""❤️)"
che cosa bella,Tu come stai?. Non te l'ho più chiesto da quando sono qui
"molto molto bene, grazie","Oh ma che bella notizia. Qualche novità ""importante""?"
elia,In che senso hahaha
quindi ti basta sapere che elia mi fa stare bene,"Amore mio bellissimo grandissimo, ora posso stare ad ascoltarti anche fino alle 4 di notte e avere lo stesso uno stile di vita sano, tanto per me sono le 2 di pomeriggio hahahaha. Vabbene vabbene, mi accontento"
veeedi,"Ma non è verooooo, io vorrei anche, sei tu che hai troncato, quindi immagino non abbia voglia di raccontare"
ho stra voglia di raccontare perché in questo periodo sono super felice,"O EM GI, i primi due mesiii✨✨✨"
ecco appunto hahaha,"Vadi vadi principessa innamorata. Mi racconti di quanto è bello il mondo, dei prati verdi, degli uccellini che cantano, del sole che splende, del suo principe a cavallo... Sono tutt'orecchi"
e boh basta mi sento un verme a scriverti ste cose,"Nooooo. È bellissimo, mi piace tanto sentir parlare gli innamorati"
il 4 sera,"E poi sono tanto contento per te, goditela"
gli ho detto che mi sto innamorando di lui,Sorrido ad ogni messaggio che mandi
FRAAAA 🥺,"Cuoricino, puoi anche non usare il gerundio ormai hahahahaha"
che so che è iniziato,"Eh, lo so io"
hahahahaha,"Ma va la, tu e i tuoi processi"
aaaa sono tanto felice,Ascolta il vecchio Fracata
mi sento già molto lontana dalle mie amiche,"Pf, certo che lo farai, che domande"
escono sempre,"Ah no, non in quel senso"
è tanto che non sto in una relazione,"Si certo. Be' allora, prima di tutto se sono amiche con un po' di cervello capiranno"
credo proprio di si,"E poi in generale avrai già poco tempo di base durante l'anno, è ovvio che preferirai Elia a loro, ma questo non vuol dire tagliare i rapporti. Poi se proprio vuoi unire i due mondi puoi farlo conoscere ma questo per esempio per me è molto difficile quindi dipende da te"
io ho già conosciuto quasi tutti gli amici di eli,"Questo lo capisco bene, ma è un pensiero che avrai sempre e comunque, indipendentemente da Elia"
vero,"Eh allora, di ché ti preoccupi. Vedrai che andrà bene, sono sicuro che non perderai nessuno"
"non sarà facile, è chiaro",E se proprio proprio allora quel qualcuno non sarà stato poi così importante hahaha. Ovvio. Più che altro per una questione di tempo
però sarà veramente complicato,1 come ti capisco  2 il fatto che tu abbia scritto un numero così preciso.... ahhhh che bello innamorarsi
non vedevo l'ora risuccedesse,"Vederlo solo il sabato diventerà un lusso hahahaha. Non puntare troppo in alto che poi ti schianti, mi raccomando"
non mi togliere il mio ottimismo,Hahahahahahhahahaha. Questi ultimi due messaggi me li sono immaginati proprio come li diresti tu
hahahahaha bene bene bene,"Comunque vedi di non incominciare a fumare o ti picchio, e fai smettere anche lui che gli fa male"
ops,Un pensierino al volo
non ha tanto tempo,"No davvero, il fumo è brutto, fate sesso ogni volta che vi viene voglia di fumare piuttosto"
dio che mood,"Lo sai benissimo che poi il passatempo diventa vizio, è chimica"
ma io voglio aspettare,Sfrutta la chimica dell'amore a tuo vantaggio e fallo smettere
non di lui,Hahahah ovvio
"non voglio allontanarlo, mi limito a dargli del tossico o della ciminiera haha","Cerca di rifletterci, fai si che diventi un pensiero con cui vai d'accordo e non che ti agiti. Questo è il primo passo, poi il secondo è parlarne molto tranquillamente assieme. E poi vai e buttati che è morbido :)"
ho paura di sprecarla,"No quello no, non è così tanto importante da pentirsene"
e allo stesso tempo mi dico vaffanculo è un freno creato dalla società non è nulla di che,O almeno non nel tuo caso
ma senti,"Be' allora, si e no, secondo me è giusto farlo con qualcuno di importante per noi in quel momento"
esatto,Perché pensi che lui ti aspetterà? Con tutto il rispetto per Davide. (A me fa ancora ridere pensare a Davide e Golia)
HAHAHAHAHA,"Dai su, sii razionale. Il mio consiglio è fallo e goditela. È un gesto d'affetto come gli altri, solo moltiplicato per mille. È tipo urlare ti voglio bene da un megafono grosso quanto un palazzo"
MI HA APPENA INVITATA A CASA SUA A PRANZO,Cosa c'èeee
oh figa,HAHAHAHAHAHAHAHHAHA
detta così mi mette ansia,"Ops scusa. Allora facciamo che è come sussurrarglielo all'orecchio, così è molto più sensuale. Comunque non commenterò tutto ciò perché se mi basassi sulla mia esperienza non farei altro che metterti ansia hahahaha"
spero non sia come tuo padre,MA
perché con tuo padre avrebbe senso,MA
ma tuo padre è un grande,Sono confuso
HO L'ANSIA,Comunque vedrai che andrà bene anche questa :)) P.s.: mettiti uno di quei vestitini che ti stanno tanto bene
no non ce la posso fa,Vestitino. Easy
che poi magari i miei manco mi ci mandano,"Semplice, bella impressione, ci stai molto bene, è ottimo. HAHAHAHAHAHA"
domani vedo,Scusa ma in mezzo a tutti gli altri messaggi mi ha fatto molto ridere
mo ci sta mia madre incazzata,Novità?
non credo haha,Ecco
mo vado a dormire,Comunque con tutti quelli che ti ho mandato sappi che ci sono se vuoi consigli per loutfit hahahahaha
monellone,Posso fare tipo l'amico gay della situazione. Mi presto molto bene. 💖. Per ora mi limito a dedicarti questo bellissimo sticker:
abbraccio virtuale ❤️,Sembrerà stupido ma un pocopocopocopocopoco mi manchi. Buonanotteeeee❤️❤️💖💖
mamma ha detto che posso andaree,Yei
ma fa freddo la?,"Be' at 6 am yep, pretty cold hahaha"
quanti gradi,A quest'ora 11/13 gradi
ma sei pronto per l'inverno?,I hope so hahaha
sono fattissima nella casa di uno,Eccallà. Vedo che i miei consigli sono serviti a molto 🙄
null,Non hai idea di quanto mi manchi l'affetto in questo momento
un abbraccino al tuo big bro?,"Ma niente, ho sono bisogno di affetto, ma ho paura che in questo paese sia difficile riceverne"
perché dici così,Qui le persone non sono molto per l'affetto fisico
cioè che lo fraintendono o che non è abitudine proprio,Non ho mai dato un abbraccio da quando sono arrivato
so che non è la stessa cosa ma se le chiedi un abbraccio capirà,"(Tra l'altro è orribile pensare che non possiamo più avere ""conversazioni notturne""). Cioè io adesso sono in mood 2 di notte, tu in mood mattina. Troppo diverso"
questo è vero,1 weird 2 sai bene che non cambierebbe molto
non molto ma qualcosa fa,Dici così solo perché sei in mood mattina. 100/100
HAHAHAHAHAHAHHA,*bacino
tu e questo mood mattina og,"Dai vado a dormire, goditi la tua mattinata"
e pensa a qualcuno che vorresti lì,OVVIO
chiudi gli occhi,Quello dal primo giorno
e immagina,Toglietemi pure i cuscini e io muoro
ricordati che le persone ti vogliono bene,Le persone è una cosa in codice per dirmi che mi vuoi bene senza sentirti in colpa perché hai un ragazzo?. Lo accetto. Anche io ti voglio bene. 💖
ora vai a nanna che è tardi,"Troppi messaggi a cui mettere mi piace, fai come se lo avessi fattl"
lo farò,Giorno giorno❤️. (versione strana di notte notte)
originale,"(Mi si è aperto isnta e c'era il tuo post, non metto mi piace per non sembrare uno stalker). ((Ma mi piace))"
ma che ragionamento è hahahaha,"(((Sto mandando troppi messaggi divertenti, a questi ultimi puoi anche non ridere)))"
<Media omitted>,6km under the rain
come procede la situazione,"Tuuuuuuttto beneeee. Va tutto alla grande, come sempre manca solo l'affetto, ma su quello ci stiamo lavorando haha"
oooh che significa?,In che senso haha
ci stiamo lavorando in che modo,"Conoscendo persone :). Ragazze per lo più, ovviamente hahagaha"
vabbè in bocca al lupo allora,"Still thinking bout u, don't worry"
<Media omitted>,👀. Io che la massima trasgressione è stata assaggiare tre gocce del vino che c'è a casa e tra parentesi fa schifo:
hahahahahaha dobbiamo migliorare,Divertiti
domani c'è il Friday's. mi mancherai,"https://open.spotify.com/track/1C0bWhNWIF3yBdjNh4GlCT?si=7f5dVHf0Qeq1XINzxmvoyA&utm_source=whatsapp. Puoi ascoltarla quando ti svegli, quando ti preparerai per uscire, quando andrai alla manifestazione.. quando ti pare insomma.  Volevo solo dedicartela e farti sentire che in qualche modo ci sono. (È consigliato l'ascolto con le cuffiette, è molto chill, ottima per la mattina. Solo un paio di consigli..👉👈). Mi mancherai anche tu"
come stai?,"Ieri ho fatto la prima gara di corsa campestre.. sono morto. Però sono anche fiero di me stesso perché non mi sono mai fermato a camminare, ho corso straight for 5km, il tempo lo sapremo tra un bel po'"
"fra che bel traguardo, che soddisfazione",Com'erano la canzone e la manifestazione?
sicuramente meno piena di altri anni ma comunque bella,Ne sono contento :)
è incredibilmente rilassante,È come mi sentivo io quando eravamo assieme al parco di villasanta
ooh,Così però la mia battuta iper narcisista non fa più ridere ☹️
quanto sei bono,"Ed ecco di cosa avevo bisogno. Hahahaha scusa, ora che sei fidanzata seriamente dovrei sfruttarti meno per saziare il mio narcisismo"
dovresti postarle,Mmmm non so. Il confermo si di preciso a cosa si riferisce hahaha
che sei bello,"Ok. So che stai dormendo. Però ho conosciuto una ragazza. E adesso mi è arrivato un messaggio. E anche se è una cosa stupida non riesco a smettere di sorridere. E sai bene cosa vuol dire aiuto. Fuuuuck non sono più abituato ad essere in queste situazioniii. In pratica le ho chiesto se le va di guardare la seconda stagione di una serie che abbiamo visto entrambi assieme e mi ha detto di sì, che possiamo vederci nei weekend o durante la settimana. Ahhh non so neanche cosa rispondere. E sinceramente non so neanche perché sto scrivendo a te lol, forse è una cosa un po' stronza da fare.. bo' non so, sei intelligente, felice, fidanzata e innamorata, che cazzo te ne frega hahahaha. Oh mamma mia, già mi viene il diabete a pensare a tutte le possibili poesie che potrei scrivere se fossi davvero innamorato. Questo è per te"
tu e gli stiker con i gatti,Hihihi❤️. Affascinante
raccontami,Non so neanche cosa direee  So solo che l'ho notata fin dal primo giorno. Mi sembra molto interessante (oltre che parecchio carina)
quindi ora uscite?,Qui è un po' diverso hahaha. Mi devo ancora abituare e soprattutto devo ancora capire bene come funziona hahaha. Oh wait sono le 6 e mezza. Buongiorno fiorellinoooo
sono le 11?,9:39pm. Sto andando a letto (se riesco a spegnere bojack)
madò mi ha svegliata mia sorella alle 4:30,Wtf
voglio dormire,Chessuccede
non so come faccia,Sono senza parole. Siamo in due
boh credo abbia preso il treno delle 5:30,Io piuttosto dormo sotto a un ponte
scherziamo?,Anche hahahaha. Va be'
mi fa paura quella giovane,Finché la Stefi non mi esplode può fare quello che vuole hahaha. Si.
già già,Sempre stato così.
altrimenti faccio tardi anch'io 💀,"Yessa, buona giornata bellissima"
grazie tesoro,In vero stile Elena
decisamente,Lo so hahahaha. Ciao ciao. 💖
aspettati un aggiornamento,AH. Paura
aaaaaa dai verranno bene,Sempre paura dei cambiamenti. Probabilmente. Ma comunque paura
madò tu ed elia dite le stesse cose basta,Mi eclissooo
eh caro,*nelle persone. Lmao
cioè,Sono la versione bella del tuo ragazzo
so la traduzione,Nulla da ridire
ti piacerebbe,Hahahahha. Dai vai a scuola pirla. *bacino
bacino *,Io alle prese con un ciupa ciupa
la ragazza accanto a te è la tua innamorata?,1 non sarei vestito con una stupida maglietta 2 non mi comporterei così  3 no haha
suppongo,È il complimento più sincero migliore che mi abbiano mai fatto. ..❤️
e se così fosse è decisamente vero quello che ho detto,Così piango però. Adesso guardo se ci sono aerei per tornare a darti un abbraccio
fra🥺,"🫠. Mio padre aveva fatto casino con la mail, se le è fatte rimandare ora, dopo mesi ho finalmente le mie foto hahaha"
manda mandaa,Queste tre sono le mie preferite
questa è meravigliosa,"Non erano finiteeee, ne sono arrivate altree. Mi devi fare la selezione delle più belle, di solito non voglio pubblicare troppo sono troppo fatte bene per tenermele per me"
questa e quella che viene dopo sono bellissime,"Quella è l'ultima hahaha. Aiuto non so cosa postare, fino ad ora mi sono sempre e solo vantato con te in privato ma così mi sembra un po' troppo in pubblico"
c'è gente che poi posta le stesse foto delle storie,"No, vorrei farlo. Solo che mi piacciono tutte e non voglio esagerare quindi ne devo scegliere poche. *tu ne devi scegliere poche. Ti scarico la responsabilità 💖"
"lo sei, no worries hahaha",Grashie🥰. Comunque scegli le foto e fammi sapereeeee
come stai?,"Uh, ma ciao. Ma che sorpresa"
aspetta sono le 11 da te?,Nope hahahaha
come no,Prima o poi l'azzecchi. 10am
9?,19 - 9 = 10. Scusa mi fa troppo ridere. Comunque tutto abbastanza bene dai
ma cos'è sta roba,La mancanza di affetto fisico inizia un po' a farsi sentire. Ora la notte dormo abbracciato a due cuscini più la cassa per la musica haha
ma chi c'è di italiano lì?,"Un botto di gente, prima cercavo di evitarli ma visto che non è che stia andando a gonfie vele a nuovi amici adesso li sto frequentando di più"
"mi spiace che le amicizie non stiano andando molto bene ma credo sia abbastanza normale all'inizio, no?",Perché sto parlando quasi più italiano che inglese. E se inizi a stare con gli italiani poi è difficile uscire dal gruppo e conoscere altri (detto così sembra una setta lmao)
ah...beh ha senso come ragionamento,"Sisi probabile, solo che non sono abituato, di solito ovunque vado mi faccio amici, sono un animale sociale"
non perderci la speranza,Ma figuriamociiiiii. Solo positività ora. Il vecchio Francesco insofferente se n'è andato hahaha
si?,"Elena. Cioè. Non portare rogna. Comunque, tu come stai invece? Con il tipello di cui non mi sono assolutamente dimenticato il nome tutto bene?"
perdona,Non hai rispostoo
e va ogni giorno sempre meglio,"Sisi certo. Ovvio. Awaaaa che frase bellissima. Fantastico, la risposta più bellina che potessi darmi, sono soddisfatto"
e mi si è aperta una nuova dimensione,AWAAAAA. AHHAHAHAHAHUA si.. Te l'avevo detto io. Ora dimmi che non avevo ragione
si,Si ho capito hahaha
letteralmente,Non mi spiegare. Ecco. Molto chiaro
<Media omitted>,Hahahah ❤️❤️. Buonanotte ❤️. Avremo modo di risentirci no te preocupe
buongiornooo,Hahahahaha. Buonanotteeeeeee
sono le 10,"🥳🥳🥳🥳🥳. Fa molto ridere come cosa neh?. Buona versione di grecoo. Ah e forse questo weekend vado a pattinare sul ghiaccio!! Sono emozionatissimo, è da un sacco che non pattino e mi manca molto, in più non ho mai provato a pattinare sul ghiaccio da quando ho fatto pattinaggio serio, quindi sono curioso"
hai fatto pattinaggio??,"No aspe cosa. AHHAHAJAHAHAHAHA. Com'è possibile che non sia mai uscito l'argomento. No dai non ci credo, davvero non lo sapevi?"
nooo,"🫠. Va be' ho fatto pattinaggio artistico per 4 anni lmao. Facevo i nazionali, ero piuttosto bravino"
ma sei serio??,"Era uno sport piccolo, non è ancora espanso in Italia. Eh già haha. Ho fatto gare nel Lazio, in Veneto, in Toscana, in Lombardia.. è stata una bella esperienza. Ogni tanto mi rendo conto di quante cose in effetti ancora non sai su di me hahahaha Me le tengo tutte e te ne dico una all'anno così rimango una persona interessantissima ❤️"
ottima tecnica,"Ora vado a nanna, buona giornata :))  *mmuah"
grazieee,"Stavo per scriverti ""BUONGIORNOOO"", poi mi sono ricordato che è domenica e non sarai mai sveglia alle 6 di mattina ma ormai era troppo tardi perché avevo già la tua chat aperta e quindi ho deciso di condividere il pensiero. Ciau, bacini, dormi bene :3"
come stai?,Sembro anche molto gay
sembri un funghetto,"Un funghetto molto gay, ammettilo"
ma perché,Buongiornissimo. Come stai? :)
<Media omitted>,"TI SEI FATTA COSA. Che bello mi fa tanto piacere la cosa del teatro, penso anch'io sia bellissima recitazione. Comunque stavo dicendo, *TI SEI FATTA ROSSA?!!??!*. Io muoro. In senso positivo, ma muoro"
e nutre i capelli,Non dico niente
daaai,Nel rispetto di Elia non farò assolutamente nessun commento
gli sono piaciuti,Segnati questa frase perché non la dirò mai più 🥰
apprezzo,Non farmeli vedere.. Dirò solo che ti stanno di sicuro molto bene
perché no?,Farei commenti non nel rispetto di Elia
🤨,Ho fatto 3 screenshot. 4. 3. Non mi conosci ancora abbastanza bene per sapere del mio debole per i capelli rossi. Molto debole
ti piacerebbero allora,FIGA LI ADOREREI. ELENA. PORCA PUTTANA SEI PERFETTA. AHHHHHH. Figa i capelli rossi
aaawww,Ti mancavano solo quelli. Dio bono. Ti odio. Figa
null,Sei proprio stronza amica cara. Fattelo dire
😌😌😌,"Mi hai beccato giusto in tempo, stavo andando a dormire"
sogni d'oro,Buongiornissimo a te :)
non ho voglia di alzarmi,"Dai su, in piedi, vai a guardarti allo specchio che sei bellissima così ti dai un boost di autostima e fai colazione più volentieri. *bacini di incoraggiamento"
mi fa male la testa,Ora come va?
e dovevo tornare a casa con mio padre,Inghessenso
ma che bello dove sei,Vancouver aquarium
ti prego dimmi che te li sei portati via,Non ho resistito
ecco il bisogno di affetto colmato,Un pochino shi
sono le 9?,10 e 30 cucciola
mmmh,Sei troppo cute
non ci riesco mai,"Appunto per quello, fai morire dalla tenerezza"
ce la farò prima o poi,"Spero di no, mi piaci così"
<Media omitted>,Elena. Oh mia musa ti invoco. Ho bisogno di un consiglio
dime,Questo sabato ho il SAT. Ho deciso che se lo passo con più di 1350 mi raso a zero. Cosa ne pensi?
ma sei pazzo?,HAHAHAHAHAHHAHAHAHAHAHHAHAHAHHAHAHAHAHAHHAHA
però io adoro i tuoi capelli,Ma tanto poi ricrescono. Tempo che torno in Italia
se non l'hai mai fatto potrebbe essere un'esperienza,Quindi voto finale
fallo,Approvi o disapprovi
buongiorno,"Ma buongiorno anche a te. Ah comunque. L'ultima storia che hai messo. Probabilmente, quasi sicuramente, non l'hai fatto apposta, ma hai anche quotato il mio film preferito in assoluto. E questa cosa mi urta e triggera e quindi per favore smettila 💖"
quale??,Ripropongo. Comunque come stai? Come va la vita
<Media omitted>,"Ah Platone. La tua zietta cara mi ha interrogato per ben due pomeriggi dopo scuola su Platone, non me lo dimenticherò mai. Comunque immagino, dicembre è il mese più pesante (dopo maggio)"
va beh ci arriveremo,Ma si. Come sempre
tu come stai,"Ieri ho fatto finalmente quell'esame sel cacchio quindi ora meglio. Da una parte sono più rilassato perché non devo più studiare come un forsennato, dall'altra sono in ansietta perenne per i risultati che però arrivano solo il 16 dicembre"
poi fammi sapere,"Yap. Comunque ti faccio una domandina, solo per sapere, è pura curiosità. Hai mai più letto le mie poesie? Perché non mi hai più scritto qual'era la tua preferita. Voglio solo capire se non ti sono piaciute e non volevi offendermi, se non avevi voglia di leggerle e poi la procrastinazione ha fatto il resto, oppure per altri motivi. Non me la sono presa e non ce l'ho con te, vorrei solo sapere il motivo perché non sei la prima che poi non mi risponde e io non capisco cosa succede ""nel mezzo"""
"l'unica cosa è che è un file bello grande quindi ci metto un po', te lo dico anche per evitare che tu ci rimanga male per altre persone.","Okay, grazie"
comunque per ora mi sto scrivendo quelle che mi piacciono di più,Mi fa piacere :) 
